Reference	Genotype	Phenotype
YP_001178158	multidrug__TolC	multidrug
YP_001178170	bacitracin__bacA	bacitracin
YP_001186705	multidrug__mexW	multidrug
YP_001187667	bacitracin__bacA	bacitracin
YP_001187672	multidrug__mexF	multidrug
YP_001220629	beta-lactam__class A beta-lactamase	beta-lactam
YP_001246098	multidrug__norA	multidrug
YP_001266290	multidrug__mexW	multidrug
YP_001268143	bacitracin__bacA	bacitracin
YP_001290033	beta-lactam__PBP-1A	beta-lactam
YP_001292390	beta-lactam__PBP-1A	beta-lactam
YP_001308137	bacitracin__bacA	bacitracin
YP_001310303	chloramphenicol__catA	chloramphenicol
YP_001334540	multidrug__mdfA	multidrug
YP_001334730	multidrug__mdtG	multidrug
YP_001335662	multidrug__mdtK	multidrug
YP_001338812	chloramphenicol__cmlA	chloramphenicol
YP_001338814	aminoglycoside__ant(2)-I	aminoglycoside
YP_001345920	multidrug__mexA	multidrug
YP_001345921	multidrug__mexB	multidrug
YP_001345922	multidrug__oprM	multidrug
YP_001346276	multidrug__opmD	multidrug
YP_001346277	multidrug__mexI	multidrug
YP_001346278	multidrug__mexH	multidrug
YP_001346370	beta-lactam__class C beta-lactamase	beta-lactam
YP_001348103	multidrug__oprN	multidrug
YP_001348104	multidrug__mexF	multidrug
YP_001348105	multidrug__mexE	multidrug
YP_001348629	multidrug__mexX	multidrug
YP_001348630	multidrug__mexY	multidrug
YP_001348697	bacitracin__bacA	bacitracin
YP_001350280	multidrug__mexW	multidrug
YP_001350570	multidrug__oprM	multidrug
YP_001350571	multidrug__mexD	multidrug
YP_001371127	beta-lactam__class C beta-lactamase	beta-lactam
YP_001373621	bacitracin__bcrA	bacitracin
YP_001374431	bacitracin__bacA	bacitracin
YP_001374841	fosfomycin__fosB	fosfomycin
YP_001382798	bacitracin__bacA	bacitracin
YP_001389621	macrolide-lincosamide-streptogramin__vatB	macrolide-lincosamide-streptogramin
YP_001389785	bacitracin__bacA	bacitracin
YP_001395695	bacitracin__bacA	bacitracin
YP_001396002	macrolide-lincosamide-streptogramin__mefA	macrolide-lincosamide-streptogramin
YP_001401993	fosmidomycin__rosA	fosmidomycin
YP_001401994	fosmidomycin__rosB	fosmidomycin
YP_001416709	bacitracin__bacA	bacitracin
YP_001419928	macrolide-lincosamide-streptogramin__lmrB	macrolide-lincosamide-streptogramin
YP_001419960	multidrug__major_facilitator_superfamily_transporter	multidrug
YP_001420711	fosfomycin__fosB	fosfomycin
YP_001422387	bacitracin__bacA	bacitracin
YP_001429537	chloramphenicol__cat_chloramphenicol acetyltransferase	chloramphenicol
YP_001434323	bacitracin__bacA	bacitracin
YP_001436495	bacitracin__bacA	bacitracin
YP_001436507	multidrug__TolC	multidrug
YP_001437159	multidrug__bicyclomycin-multidrug_efflux_protein_bcr	multidrug
YP_001438116	multidrug__mdtK	multidrug
YP_001438541	macrolide-lincosamide-streptogramin__macB	macrolide-lincosamide-streptogramin
YP_001439344	kasugamycin__kasugamycin resistance protein ksgA	kasugamycin
YP_001444376	tetracycline__tet34	tetracycline
YP_001445425	multidrug__mdtK	multidrug
YP_001451632	multidrug__emrD	multidrug
YP_001451669	multidrug__mdtL	multidrug
YP_001452184	multidrug__bicyclomycin-multidrug_efflux_protein_bcr	multidrug
YP_001453247	multidrug__mdtK	multidrug
YP_001453560	multidrug__mdtH	multidrug
YP_001453577	multidrug__mdtG	multidrug
YP_001453760	macrolide-lincosamide-streptogramin__macB	macrolide-lincosamide-streptogramin
YP_001454848	kasugamycin__kasugamycin resistance protein ksgA	kasugamycin
YP_001455919	multidrug__TolC	multidrug
YP_001455939	bacitracin__bacA	bacitracin
YP_001457641	multidrug__mdfA	multidrug
YP_001460310	multidrug__mdtF	multidrug
YP_001460869	multidrug__mdtO	multidrug
YP_001460870	multidrug__mdtN	multidrug
YP_001461101	multidrug__mdtM	multidrug
YP_001461223	kasugamycin__kasugamycin resistance protein ksgA	kasugamycin
YP_001462039	multidrug__mdfA	multidrug
YP_001464983	multidrug__mdtF	multidrug
YP_001465585	multidrug__mdtO	multidrug
YP_001465586	multidrug__mdtN	multidrug
YP_001465866	multidrug__mdtM	multidrug
YP_001476958	kasugamycin__kasugamycin resistance protein ksgA	kasugamycin
YP_001477358	multidrug__acrB	multidrug
YP_001477377	fosmidomycin__rosB	fosmidomycin
YP_001477378	fosmidomycin__rosA	fosmidomycin
YP_001478113	multidrug__mdtG	multidrug
YP_001478290	quinolone__qnrB	quinolone
YP_001478502	beta-lactam__class C beta-lactamase	beta-lactam
YP_001480516	bacitracin__bacA	bacitracin
YP_001486998	multidrug__major_facilitator_superfamily_transporter	multidrug
YP_001487997	bacitracin__bacA	bacitracin
YP_001527590	bacitracin__bacA	bacitracin
YP_001563294	bacitracin__bacA	bacitracin
YP_001569068	macrolide-lincosamide-streptogramin__msrA	macrolide-lincosamide-streptogramin
YP_001569069	macrolide-lincosamide-streptogramin__mphC	macrolide-lincosamide-streptogramin
YP_001569731	multidrug__bicyclomycin-multidrug_efflux_protein_bcr	multidrug
YP_001570595	multidrug__mdtK	multidrug
YP_001570858	multidrug__mdtH	multidrug
YP_001570871	multidrug__mdtG	multidrug
YP_001571041	macrolide-lincosamide-streptogramin__macB	macrolide-lincosamide-streptogramin
YP_001571902	kasugamycin__kasugamycin resistance protein ksgA	kasugamycin
YP_001572361	multidrug__mdtN	multidrug
YP_001572363	multidrug__mdtP	multidrug
YP_001572785	multidrug__emrD	multidrug
YP_001573343	bacitracin__bacA	bacitracin
YP_001573360	multidrug__TolC	multidrug
YP_001579800	multidrug__amrB	multidrug
YP_001583349	multidrug__mexE	multidrug
YP_001583350	multidrug__ceoB	multidrug
YP_001587036	multidrug__bicyclomycin-multidrug_efflux_protein_bcr	multidrug
YP_001588578	multidrug__mdtH	multidrug
YP_001588793	macrolide-lincosamide-streptogramin__macB	macrolide-lincosamide-streptogramin
YP_001590162	bacitracin__bacA	bacitracin
YP_001590869	multidrug__emrD	multidrug
YP_001605795	fosmidomycin__rosB	fosmidomycin
YP_001605796	fosmidomycin__rosA	fosmidomycin
YP_001616633	bacitracin__bacA	bacitracin
YP_001639853	bacitracin__bacA	bacitracin
YP_001644180	bacitracin__bacA	bacitracin
YP_001668663	multidrug__mexD	multidrug
YP_001668745	multidrug__mexF	multidrug
YP_001669149	bacitracin__bacA	bacitracin
YP_001670703	multidrug__mexW	multidrug
YP_001687825	tetracycline__tetA	tetracycline
YP_001691306	tetracycline__tetL	tetracycline
YP_001693856	beta-lactam__PBP-2X	beta-lactam
YP_001694417	multidrug__multidrug_transporter	multidrug
YP_001694718	tetracycline__tetM	tetracycline
YP_001696597	bacitracin__bacA	bacitracin
YP_001700011	fosfomycin__fosB	fosfomycin
YP_001721930	multidrug__acrB	multidrug
YP_001726104	multidrug__acrB	multidrug
YP_001726662	multidrug__mdtM	multidrug
YP_001726873	multidrug__mdtN	multidrug
YP_001726874	multidrug__mdtO	multidrug
YP_001740011	aminoglycoside__aph(6)-I	aminoglycoside
YP_001744116	multidrug__mdtH	multidrug
YP_001744129	multidrug__mdtG	multidrug
YP_001746870	sulfonamide__sul1	sulfonamide
YP_001747848	multidrug__acrB	multidrug
YP_001749316	multidrug__mexF	multidrug
YP_001749617	bacitracin__bacA	bacitracin
YP_001764893	multidrug__mexX	multidrug
YP_001764894	multidrug__amrB	multidrug
YP_001778538	multidrug__mexE	multidrug
YP_001778540	multidrug__opcM	multidrug
YP_001779894	macrolide-lincosamide-streptogramin__vatB	macrolide-lincosamide-streptogramin
YP_001780068	bacitracin__bacA	bacitracin
YP_001785579	macrolide-lincosamide-streptogramin__vatB	macrolide-lincosamide-streptogramin
YP_001785754	bacitracin__bacA	bacitracin
YP_001797193	bacitracin__bacA	bacitracin
YP_001808247	multidrug__amrB	multidrug
YP_001811889	multidrug__opcM	multidrug
YP_001811890	multidrug__ceoB	multidrug
YP_001811891	multidrug__mexE	multidrug
YP_001816601	trimethoprim__dfrA17	trimethoprim
YP_001826640	tetracenomycin_C__tcmA	tetracenomycin_C
YP_001834888	tetracycline__tetM	tetracycline
YP_001836040	macrolide-lincosamide-streptogramin__ermB	macrolide-lincosamide-streptogramin
YP_001844878	aminoglycoside__aph(3)-I	aminoglycoside
YP_001846483	multidrug__adeB	multidrug
YP_001848841	aminoglycoside__aac(2)-I	aminoglycoside
YP_001871463	multidrug__acrB	multidrug
YP_001871501	fosmidomycin__rosA	fosmidomycin
YP_001878864	kasugamycin__kasugamycin resistance protein ksgA	kasugamycin
YP_001879172	multidrug__acrB	multidrug
YP_001879173	multidrug__acrA	multidrug
YP_001880923	macrolide-lincosamide-streptogramin__macB	macrolide-lincosamide-streptogramin
YP_001881802	multidrug__TolC	multidrug
YP_001882199	multidrug__mdtE	multidrug
YP_001882200	multidrug__mdtF	multidrug
YP_001882481	multidrug__emrD	multidrug
YP_001882916	multidrug__mdtM	multidrug
YP_001886771	bacitracin__bacA	bacitracin
YP_001896735	bacitracin__bacA	bacitracin
YP_001898234	bacitracin__bacA	bacitracin
YP_001908403	multidrug__acrB	multidrug
YP_001921729	bacitracin__bacA	bacitracin
YP_001925041	bacitracin__bacA	bacitracin
YP_001949526	multidrug__opcM	multidrug
YP_001966009	tetracycline__tetL	tetracycline
YP_001966224	chloramphenicol__catA	chloramphenicol
YP_001966228	trimethoprim__dfrA14	trimethoprim
YP_001966247	aminoglycoside__aac(3)-II	aminoglycoside
YP_001966537	aminoglycoside__aph(3)-I	aminoglycoside
YP_001967742	tetracycline__tetA	tetracycline
YP_001969930	sulfonamide__sul2	sulfonamide
YP_001972437	beta-lactam__metallo-beta-lactamase	beta-lactam
YP_001973746	multidrug__multidrug_transporter	multidrug
YP_001974111	multidrug__smeC	multidrug
YP_001974112	multidrug__smeB	multidrug
YP_001974113	multidrug__mexE	multidrug
YP_002006347	bacitracin__bacA	bacitracin
YP_002009764	multidrug__oprA	multidrug
YP_002022792	multidrug__mexX	multidrug
YP_002028533	beta-lactam__metallo-beta-lactamase	beta-lactam
YP_002029848	multidrug__smeF	multidrug
YP_002029849	multidrug__multidrug_transporter	multidrug
YP_002029850	multidrug__smeD	multidrug
YP_002030218	multidrug__smeC	multidrug
YP_002030219	multidrug__smeB	multidrug
YP_002030220	multidrug__mexE	multidrug
YP_002035949	multidrug__mexX	multidrug
YP_002037607	multidrug__multidrug_transporter	multidrug
YP_002038880	tetracycline__tetA	tetracycline
YP_002039320	kasugamycin__kasugamycin resistance protein ksgA	kasugamycin
YP_002040143	macrolide-lincosamide-streptogramin__macB	macrolide-lincosamide-streptogramin
YP_002040674	multidrug__mdtK	multidrug
YP_002041176	beta-lactam__penA	beta-lactam
YP_002042472	bacitracin__bacA	bacitracin
YP_002043045	multidrug__emrD	multidrug
YP_002044935	macrolide-lincosamide-streptogramin__macB	macrolide-lincosamide-streptogramin
YP_002045152	multidrug__mdtG	multidrug
YP_002045964	beta-lactam__penA	beta-lactam
YP_002047829	multidrug__emrD	multidrug
YP_002081114	multidrug__multidrug_transporter	multidrug
YP_002081505	multidrug__mexF	multidrug
YP_002083353	multidrug__oprM	multidrug
YP_002085096	chloramphenicol__cat_chloramphenicol acetyltransferase	chloramphenicol
YP_002086467	multidrug__multidrug_transporter	multidrug
YP_002086937	multidrug__mexE	multidrug
YP_002089536	multidrug__mexB	multidrug
YP_002090520	multidrug__mexD	multidrug
YP_002090521	multidrug__oprJ	multidrug
YP_002092118	bacitracin__bacA	bacitracin
YP_002095804	multidrug__ceoB	multidrug
YP_002095805	multidrug__opcM	multidrug
YP_002100652	multidrug__opcM	multidrug
YP_002100653	multidrug__mexE	multidrug
YP_002106217	multidrug__mexX	multidrug
YP_002110288	multidrug__mexX	multidrug
YP_002112964	aminoglycoside__aph(3)-I	aminoglycoside
YP_002113107	kasugamycin__kasugamycin resistance protein ksgA	kasugamycin
YP_002113999	macrolide-lincosamide-streptogramin__macB	macrolide-lincosamide-streptogramin
YP_002114165	multidrug__mdtH	multidrug
YP_002114436	multidrug__mdtK	multidrug
YP_002114946	beta-lactam__penA	beta-lactam
YP_002115369	polymyxin__arnA	polymyxin
YP_002116141	multidrug__TolC	multidrug
YP_002116741	multidrug__emrD	multidrug
YP_002146111	beta-lactam__penA	beta-lactam
YP_002147194	multidrug__bicyclomycin-multidrug_efflux_protein_bcr	multidrug
YP_002150494	chloramphenicol__catA	chloramphenicol
YP_002152117	tetracycline__tetJ	tetracycline
YP_002181880	tetracenomycin_C__tcmA	tetracenomycin_C
YP_002188856	tetracenomycin_C__tcmA	tetracenomycin_C
YP_002193132	tetracenomycin_C__tcmA	tetracenomycin_C
YP_002196817	tetracenomycin_C__tcmA	tetracenomycin_C
YP_002201843	macrolide-lincosamide-streptogramin__ermE	macrolide-lincosamide-streptogramin
YP_002203876	tetracenomycin_C__tcmA	tetracenomycin_C
YP_002214869	macrolide-lincosamide-streptogramin__macB	macrolide-lincosamide-streptogramin
YP_002215174	beta-lactam__penA	beta-lactam
YP_002215984	multidrug__mdtG	multidrug
YP_002217166	multidrug__TolC	multidrug
YP_002217186	bacitracin__bacA	bacitracin
YP_002217746	multidrug__emrD	multidrug
YP_002225584	multidrug__acrB	multidrug
YP_002225919	multidrug__mdfA	multidrug
YP_002225954	macrolide-lincosamide-streptogramin__macB	macrolide-lincosamide-streptogramin
YP_002226185	beta-lactam__penA	beta-lactam
YP_002226896	multidrug__mdtH	multidrug
YP_002226908	multidrug__mdtG	multidrug
YP_002227903	multidrug__TolC	multidrug
YP_002228414	multidrug__emrD	multidrug
YP_002229045	multidrug__mdtM	multidrug
YP_002235155	multidrug__mexE	multidrug
YP_002235907	multidrug__emrD	multidrug
YP_002236533	bacitracin__bacA	bacitracin
YP_002236547	multidrug__TolC	multidrug
YP_002237398	multidrug__bicyclomycin-multidrug_efflux_protein_bcr	multidrug
YP_002238177	multidrug__mdtK	multidrug
YP_002238610	beta-lactam__class A beta-lactamase	beta-lactam
YP_002239313	multidrug__mdtG	multidrug
YP_002239469	macrolide-lincosamide-streptogramin__macB	macrolide-lincosamide-streptogramin
YP_002239509	multidrug__mdfA	multidrug
YP_002240036	multidrug__acrA	multidrug
YP_002240037	multidrug__acrB	multidrug
YP_002240485	kasugamycin__kasugamycin resistance protein ksgA	kasugamycin
YP_002242988	macrolide-lincosamide-streptogramin__macB	macrolide-lincosamide-streptogramin
YP_002243220	beta-lactam__penA	beta-lactam
YP_002243989	multidrug__mdtG	multidrug
YP_002244306	multidrug__bicyclomycin-multidrug_efflux_protein_bcr	multidrug
YP_002245675	multidrug__emrD	multidrug
YP_002256705	multidrug__mexC	multidrug
YP_002260505	bacitracin__bacA	bacitracin
YP_002269113	multidrug__acrA	multidrug
YP_002269553	macrolide-lincosamide-streptogramin__macB	macrolide-lincosamide-streptogramin
YP_002271667	polymyxin__arnA	polymyxin
YP_002272991	multidrug__mdtF	multidrug
YP_002286768	chloramphenicol__chloramphenicol exporter	chloramphenicol
YP_002292212	macrolide-lincosamide-streptogramin__macB	macrolide-lincosamide-streptogramin
YP_002293726	multidrug__bicyclomycin-multidrug_efflux_protein_bcr	multidrug
YP_002295057	multidrug__mdtE	multidrug
YP_002295271	multidrug__mdtL	multidrug
YP_002295654	multidrug__mdtN	multidrug
YP_002315561	bacitracin__bacA	bacitracin
YP_002328441	macrolide-lincosamide-streptogramin__macB	macrolide-lincosamide-streptogramin
YP_002329903	polymyxin__arnA	polymyxin
YP_002331449	multidrug__emrD	multidrug
YP_002331481	multidrug__mdtL	multidrug
YP_002331861	multidrug__mdtP	multidrug
YP_002331862	multidrug__mdtO	multidrug
YP_002331863	multidrug__mdtN	multidrug
YP_002332257	macrolide-lincosamide-streptogramin__vgaA	macrolide-lincosamide-streptogramin
YP_002332890	tetracycline__tetA	tetracycline
YP_002333391	vancomycin__vanS	vancomycin
YP_002333393	vancomycin__vanW	vancomycin
YP_002333394	vancomycin__vanH	vancomycin
YP_002333396	vancomycin__vanX	vancomycin
YP_002349827	fosfomycin__fosX	fosfomycin
YP_002366749	fosfomycin__fosB	fosfomycin
YP_002367214	beta-lactam__class A beta-lactamase	beta-lactam
YP_002368151	beta-lactam__class A beta-lactamase	beta-lactam
YP_002382152	multidrug__multidrug_transporter	multidrug
YP_002382193	macrolide-lincosamide-streptogramin__macB	macrolide-lincosamide-streptogramin
YP_002382998	multidrug__mdtH	multidrug
YP_002383389	multidrug__bicyclomycin-multidrug_efflux_protein_bcr	multidrug
YP_002383660	multidrug__mexE	multidrug
YP_002383661	multidrug__acrB	multidrug
YP_002384075	multidrug__TolC	multidrug
YP_002384137	multidrug__mdtE	multidrug
YP_002384138	multidrug__mdtF	multidrug
YP_002384189	multidrug__mdtM	multidrug
YP_002384997	multidrug__emrD	multidrug
YP_002385033	multidrug__mdtL	multidrug
YP_002385298	multidrug__mdtN	multidrug
YP_002385300	multidrug__mdtP	multidrug
YP_002385941	multidrug__acrB	multidrug
YP_002386378	macrolide-lincosamide-streptogramin__macB	macrolide-lincosamide-streptogramin
YP_002387665	multidrug__bicyclomycin-multidrug_efflux_protein_bcr	multidrug
YP_002388977	multidrug__mdtF	multidrug
YP_002389553	multidrug__mdtO	multidrug
YP_002389784	multidrug__mdtM	multidrug
YP_002393667	multidrug__emrD	multidrug
YP_002394083	multidrug__mdtP	multidrug
YP_002394084	multidrug__mdtO	multidrug
YP_002394085	multidrug__mdtN	multidrug
YP_002394587	tetracycline__tetB	tetracycline
YP_002394666	quinolone__qnrS	quinolone
YP_002396141	kasugamycin__kasugamycin resistance protein ksgA	kasugamycin
YP_002396538	multidrug__acrA	multidrug
YP_002397219	multidrug__mdtG	multidrug
YP_002398143	multidrug__emrE	multidrug
YP_002398630	polymyxin__arnA	polymyxin
YP_002399550	multidrug__TolC	multidrug
YP_002400009	multidrug__mdtE	multidrug
YP_002400010	multidrug__mdtF	multidrug
YP_002400178	multidrug__emrD	multidrug
YP_002400589	multidrug__mdtP	multidrug
YP_002400590	multidrug__mdtO	multidrug
YP_002400591	multidrug__mdtN	multidrug
YP_002401190	kasugamycin__kasugamycin resistance protein ksgA	kasugamycin
YP_002401592	multidrug__acrA	multidrug
YP_002401983	multidrug__multidrug_transporter	multidrug
YP_002402255	multidrug__mdtG	multidrug
YP_002405849	multidrug__mdtM	multidrug
YP_002408074	multidrug__mdtG	multidrug
YP_002408235	macrolide-lincosamide-streptogramin__macB	macrolide-lincosamide-streptogramin
YP_002409908	multidrug__mdtF	multidrug
YP_002410375	multidrug__mdtP	multidrug
YP_002410376	multidrug__mdtO	multidrug
YP_002411785	multidrug__multidrug_transporter	multidrug
YP_002411827	macrolide-lincosamide-streptogramin__macB	macrolide-lincosamide-streptogramin
YP_002413233	multidrug__bicyclomycin-multidrug_efflux_protein_bcr	multidrug
YP_002414661	multidrug__mdtE	multidrug
YP_002414662	multidrug__mdtF	multidrug
YP_002415221	multidrug__mdtP	multidrug
YP_002415222	multidrug__mdtO	multidrug
YP_002418004	tetracycline__tet34	tetracycline
YP_002421432	bacitracin__bacA	bacitracin
YP_002434803	bacitracin__bacA	bacitracin
YP_002445444	fosfomycin__fosB	fosfomycin
YP_002445900	beta-lactam__class A beta-lactamase	beta-lactam
YP_002452410	beta-lactam__class A beta-lactamase	beta-lactam
YP_002467958	beta-lactam__PBP-1B	beta-lactam
YP_002479998	bacitracin__bacA	bacitracin
YP_002529178	bacitracin__bacA	bacitracin
YP_002529744	fosfomycin__fosB	fosfomycin
YP_002552549	bacitracin__bacA	bacitracin
YP_002633428	bacitracin__bacA	bacitracin
YP_002633439	multidrug__multidrug_transporter	multidrug
YP_002636110	multidrug__acrB	multidrug
YP_002636111	multidrug__acrA	multidrug
YP_002636476	multidrug__mdfA	multidrug
YP_002638128	multidrug__mdtH	multidrug
YP_002638141	multidrug__mdtG	multidrug
YP_002638786	multidrug__TolC	multidrug
YP_002638807	bacitracin__bacA	bacitracin
YP_002639394	multidrug__emrD	multidrug
YP_002640141	multidrug__mdtM	multidrug
YP_002666586	tetracycline__tet34	tetracycline
YP_002705655	multidrug__mexE	multidrug
YP_002705656	multidrug__smeB	multidrug
YP_002705657	multidrug__oprM	multidrug
YP_002706076	multidrug__smeD	multidrug
YP_002706077	multidrug__smeE	multidrug
YP_002706078	multidrug__smeF	multidrug
YP_002707503	beta-lactam__metallo-beta-lactamase	beta-lactam
YP_002735431	beta-lactam__PBP-2X	beta-lactam
YP_002735988	multidrug__mdtG	multidrug
YP_002737588	beta-lactam__PBP-2X	beta-lactam
YP_002738300	tetracycline__tetM	tetracycline
YP_002740275	multidrug__mdtG	multidrug
YP_002741884	beta-lactam__PBP-2X	beta-lactam
YP_002750791	beta-lactam__class A beta-lactamase	beta-lactam
YP_002758412	fosfomycin__fosX	fosfomycin
YP_002773891	fosfomycin__fosB	fosfomycin
YP_002775228	bacitracin__bacA	bacitracin
YP_002791392	aminoglycoside__aac(6)-I	aminoglycoside
YP_002791405	trimethoprim__dfrA19	trimethoprim
YP_002791441	aminoglycoside__aph(3)-I	aminoglycoside
YP_002791715	quinolone__qnrB	quinolone
YP_002792444	beta-lactam__penA	beta-lactam
YP_002800019	bacitracin__bacA	bacitracin
YP_002800512	multidrug__mexF	multidrug
YP_002806276	multidrug__mdtO	multidrug
YP_002806354	beta-lactam__class C beta-lactamase	beta-lactam
YP_002806550	multidrug__mdtM	multidrug
YP_002807373	multidrug__TolC	multidrug
YP_002807856	multidrug__mdtF	multidrug
YP_002808057	multidrug__emrD	multidrug
YP_002846930	multidrug__emrD	multidrug
YP_002847014	beta-lactam__class C beta-lactamase	beta-lactam
YP_002847275	kasugamycin__kasugamycin resistance protein ksgA	kasugamycin
YP_002847505	multidrug__mdtF	multidrug
YP_002847888	multidrug__TolC	multidrug
YP_002847905	bacitracin__bacA	bacitracin
YP_002848372	multidrug__acrB	multidrug
YP_002848373	multidrug__mexE	multidrug
YP_002848751	multidrug__mdfA	multidrug
YP_002848913	multidrug__mdtG	multidrug
YP_002848923	multidrug__mdtH	multidrug
YP_002849300	multidrug__mdtK	multidrug
YP_002849611	quinolone__qnrB	quinolone
YP_002850060	macrolide-lincosamide-streptogramin__macB	macrolide-lincosamide-streptogramin
YP_002850162	multidrug__bicyclomycin-multidrug_efflux_protein_bcr	multidrug
YP_002850217	polymyxin__arnA	polymyxin
YP_002850805	tetracycline__tetP	tetracycline
YP_002852100	bacitracin__bacA	bacitracin
YP_002861121	macrolide-lincosamide-streptogramin__vatB	macrolide-lincosamide-streptogramin
YP_002886367	bacitracin__bacA	bacitracin
YP_002890644	bacitracin__bacA	bacitracin
YP_002894387	chloramphenicol__floR	chloramphenicol
YP_002894485	aminoglycoside__aadA	aminoglycoside
YP_002894624	beta-lactam__CMY-2	beta-lactam
YP_002896634	multidrug__oprA	multidrug
YP_002929946	bacitracin__bacA	bacitracin
YP_002931998	bacitracin__bacA	bacitracin
YP_002932544	multidrug__acrB	multidrug
YP_002937728	bacitracin__bacA	bacitracin
YP_010878	bacitracin__bacA	bacitracin
YP_040163	bacitracin__bacA	bacitracin
YP_042236	tetracycline__tetB	tetracycline
YP_042788	multidrug__norA	multidrug
YP_063446	tetracycline__tetO	tetracycline
YP_078703	fosfomycin__fosB	fosfomycin
YP_080399	bacitracin__bacA	bacitracin
YP_089932	beta-lactam__class A beta-lactamase	beta-lactam
YP_098534	beta-lactam__class A beta-lactamase	beta-lactam
YP_106067	multidrug__mexE	multidrug
YP_112402	aminoglycoside__aph(3)-I	aminoglycoside
YP_151445	multidrug__acrB	multidrug
YP_152202	multidrug__TolC	multidrug
YP_185622	bacitracin__bacA	bacitracin
YP_185633	multidrug__norA	multidrug
YP_187949	multidrug__norA	multidrug
YP_195816	tetracycline__tetA	tetracycline
YP_208590	beta-lactam__penA	beta-lactam
YP_210868	beta-lactam__class A beta-lactamase	beta-lactam
YP_215504	multidrug__acrB	multidrug
YP_215847	multidrug__mdfA	multidrug
YP_216904	beta-lactam__penA	beta-lactam
YP_218139	bacitracin__bacA	bacitracin
YP_219359	multidrug__mdtM	multidrug
YP_232872	chloramphenicol__chloramphenicol exporter	chloramphenicol
YP_236040	multidrug__mexF	multidrug
YP_236080	bacitracin__bacA	bacitracin
YP_248152	beta-lactam__PBP-1A	beta-lactam
YP_251195	chloramphenicol__chloramphenicol exporter	chloramphenicol
YP_251227	macrolide-lincosamide-streptogramin__ermX	macrolide-lincosamide-streptogramin
YP_254114	multidrug__major_facilitator_superfamily_transporter	multidrug
YP_254125	bacitracin__bacA	bacitracin
YP_254220	macrolide-lincosamide-streptogramin__msrA	macrolide-lincosamide-streptogramin
YP_260346	multidrug__mexF	multidrug
YP_264987	bacitracin__bacA	bacitracin
YP_274443	bacitracin__bacA	bacitracin
YP_274481	multidrug__mexF	multidrug
YP_277581	bacitracin__bacA	bacitracin
YP_294981	bacitracin__bacA	bacitracin
YP_298289	multidrug__mexB	multidrug
YP_302016	fosfomycin__fosB	fosfomycin
YP_302113	multidrug__norA	multidrug
YP_302125	bacitracin__bacA	bacitracin
YP_302230	multidrug__mepA	multidrug
YP_309460	multidrug__acrB	multidrug
YP_309461	multidrug__acrA	multidrug
YP_309843	macrolide-lincosamide-streptogramin__macB	macrolide-lincosamide-streptogramin
YP_310046	multidrug__mdtH	multidrug
YP_310429	multidrug__mdtK	multidrug
YP_311196	polymyxin__arnA	polymyxin
YP_312012	bacitracin__bacA	bacitracin
YP_312344	multidrug__mdtL	multidrug
YP_312412	multidrug__emrD	multidrug
YP_312991	multidrug__mdtP	multidrug
YP_312992	multidrug__mdtO	multidrug
YP_316450	bacitracin__bacA	bacitracin
YP_348389	multidrug__mexF	multidrug
YP_348488	multidrug__mexD	multidrug
YP_349555	bacitracin__bacA	bacitracin
YP_350221	multidrug__mexW	multidrug
YP_369007	multidrug__amrB	multidrug
YP_371055	multidrug__mexE	multidrug
YP_371056	multidrug__ceoB	multidrug
YP_371057	multidrug__opcM	multidrug
YP_401803	kasugamycin__kasugamycin resistance protein ksgA	kasugamycin
YP_402564	multidrug__bicyclomycin-multidrug_efflux_protein_bcr	multidrug
YP_403489	multidrug__mdtK	multidrug
YP_403947	macrolide-lincosamide-streptogramin__macB	macrolide-lincosamide-streptogramin
YP_404705	multidrug__TolC	multidrug
YP_405004	multidrug__mdtF	multidrug
YP_405005	multidrug__mdtE	multidrug
YP_405598	multidrug__mdtL	multidrug
YP_405948	multidrug__mdtM	multidrug
YP_406903	multidrug__mexE	multidrug
YP_407239	multidrug__mdfA	multidrug
YP_407313	macrolide-lincosamide-streptogramin__macB	macrolide-lincosamide-streptogramin
YP_408416	multidrug__mdtH	multidrug
YP_408684	polymyxin__arnA	polymyxin
YP_409239	multidrug__TolC	multidrug
YP_410000	multidrug__emrD	multidrug
YP_410369	multidrug__mdtO	multidrug
YP_410370	multidrug__mdtN	multidrug
YP_416126	bacitracin__bacA	bacitracin
YP_424819	aminoglycoside__aph(3)-III	aminoglycoside
YP_440294	multidrug__mexE	multidrug
YP_442964	multidrug__oprA	multidrug
YP_454364	multidrug__acrB	multidrug
YP_473355	macrolide-lincosamide-streptogramin__lnuA	macrolide-lincosamide-streptogramin
YP_492684	tetracycline__tetracycline_resistance_protein	tetracycline
YP_523088	bacitracin__bacA	bacitracin
YP_536864	multidrug__qacA	multidrug
YP_543187	multidrug__emrD	multidrug
YP_550152	bacitracin__bacA	bacitracin
YP_560128	bacitracin__bacA	bacitracin
YP_561834	beta-lactam__class B beta-lactamase	beta-lactam
YP_581244	bacitracin__bacA	bacitracin
YP_584847	bacitracin__bacA	bacitracin
YP_586061	multidrug__multidrug_transporter	multidrug
YP_594556	tetracycline__tetW	tetracycline
YP_600745	tetracycline__tetM	tetracycline
YP_606823	multidrug__mexW	multidrug
YP_607927	multidrug__mexF	multidrug
YP_608499	bacitracin__bacA	bacitracin
